Land Parcel ID,State,District,Division,Latitude,Longitude,Land Area (hectare),Soil Type,Soil pH,Avg Temperature (Â°C),Avg Rainfall (mm/year),Humidity (%),Slope,Elevation (meters),Proximity to Water,Water Availability,Native Species,Carbon Sequestration (kg CO2/year/tree),Maintenance Requirements,Growth Period (Months),Cost (per hectare),Planting Density (trees per hectare)
LP001,Karnataka,Bangalore,South,33.33311963786513,84.65184918894559,27.78501527228459,Red,6.925083628805718,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,1404.7395858124974,1377
LP002,Maharashtra,Mumbai,West,8.642416007010352,97.35545715038728,20.999755047093384,Black,6.96557359148776,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,3778.589243444665,1856
LP003,Uttar Pradesh,Lucknow,Central,26.14330191166053,89.84009582517979,23.986614876401127,Alluvial,6.355153428733311,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,4416.211727653013,802
LP004,Gujarat,Ahmedabad,North,32.3646552568594,78.73570461335245,15.894917217959005,Laterite,6.806362222698157,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,2306.439113967065,617
LP005,Tamil Nadu,Chennai,East,36.47524189170959,94.0417480937709,21.975635599363308,Mountain,7.371603114336139,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,2860.715657059264,1052
LP006,Karnataka,Bangalore,South,14.735365643377325,92.63032002715818,26.10048412560802,Red,6.773871274943728,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,3674.8060551688272,1697
LP007,Maharashtra,Mumbai,West,12.2685343395693,88.91206785651234,28.21568051103035,Black,6.596488404914629,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,3241.304651425032,1579
LP008,Uttar Pradesh,Lucknow,Central,29.044334843517234,79.75136890288215,28.93924003016025,Alluvial,6.400158836269504,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,4182.183831360644,875
LP009,Gujarat,Ahmedabad,North,31.26380535313818,69.47488307986212,18.580764715352714,Laterite,6.32987328520975,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,3071.4556656815744,1816
LP010,Tamil Nadu,Chennai,East,33.02071874395274,85.55048886090322,21.780188968070537,Mountain,6.098537518026897,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,4654.574105646083,1568
LP011,Karnataka,Bangalore,South,36.04472717362896,94.67940103594307,11.5386676278432,Red,6.0858541029358895,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,3445.263651475264,1096
LP012,Maharashtra,Mumbai,West,25.451592009918492,85.6397706287275,16.783152029462073,Black,7.432325832410046,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,4814.114572111372,764
LP013,Uttar Pradesh,Lucknow,Central,32.37175583106591,68.76036722490525,17.635197460936432,Alluvial,7.498270030991936,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,1459.0836742172141,1710
LP014,Gujarat,Ahmedabad,North,28.473061625239723,73.98243131922128,25.902142747798994,Laterite,6.3622657803586815,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,1253.0022161176273,752
LP015,Tamil Nadu,Chennai,East,17.567495874562134,95.03456294739385,12.27215756675104,Mountain,7.155564552013606,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,4864.135632861249,1300
LP016,Karnataka,Bangalore,South,17.765745658322935,85.86638210320922,26.151178592702323,Red,7.215734436380075,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,1777.0319940349118,1948
LP017,Maharashtra,Mumbai,West,12.76506490534781,82.25105243916889,19.32967523426592,Black,6.133720017532602,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,1392.6798997814838,1962
LP018,Uttar Pradesh,Lucknow,Central,34.010759223488186,72.12233035509108,24.372508979839704,Alluvial,7.295088688408278,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,4681.943729686269,1817
LP019,Gujarat,Ahmedabad,North,35.26898295145778,97.2383841035039,11.356541214700151,Laterite,6.541766207300359,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,3975.7502220946703,1798
LP020,Tamil Nadu,Chennai,East,24.916352981988794,70.26191971800834,12.690965192776407,Mountain,7.162047482729427,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,1579.994723307732,1529
LP021,Karnataka,Bangalore,South,34.289645928018935,90.9087818555166,24.535717961845638,Red,6.089246159407915,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,2970.8444925494523,822
LP022,Maharashtra,Mumbai,West,18.625140835665967,70.81928650999548,24.369290789157436,Black,7.017749991613984,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,4535.352758725709,1194
LP023,Uttar Pradesh,Lucknow,Central,31.023803985224326,92.8266126330217,25.912059997208512,Alluvial,7.3264940875918265,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,3707.513010576393,1095
LP024,Gujarat,Ahmedabad,North,37.53753206818182,81.5150195598509,11.194330550583546,Laterite,7.182730970501484,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,2051.088266991845,504
LP025,Tamil Nadu,Chennai,East,12.687937517522624,86.42352903488698,8.085641360112952,Mountain,6.8244808086651965,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,1737.4688203332348,999
LP026,Karnataka,Bangalore,South,12.690415008232392,77.71702583972473,20.4284909793636,Red,6.0056910072713645,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,4289.446152102515,917
LP027,Maharashtra,Mumbai,West,9.103263875795847,92.41390434733002,21.91616109598114,Black,6.00763226131904,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,1938.348353260571,1034
LP028,Uttar Pradesh,Lucknow,Central,15.80509421426332,75.49623839694284,9.487749054144086,Alluvial,6.430567844375644,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,3007.7662728759824,1103
LP029,Gujarat,Ahmedabad,North,26.4708385174361,78.54440276221676,6.238827687224795,Laterite,7.455482698739184,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,2499.1075221524484,1870
LP030,Tamil Nadu,Chennai,East,28.155858095082593,70.92708482862945,6.660963713416605,Mountain,6.910117563871355,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,1785.2682013117706,1356
LP031,Karnataka,Bangalore,South,27.34213542315402,76.88186928992629,8.959123248983001,Red,6.382686960487465,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,2604.7364710778684,1131
LP032,Maharashtra,Mumbai,West,32.245048190942846,78.70913170654327,14.26095987620648,Black,7.048469771863098,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,1642.3883489490545,1326
LP033,Uttar Pradesh,Lucknow,Central,25.27416208111788,77.52245028427629,9.30010872794811,Alluvial,7.008939790138417,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,2047.9879995389313,1637
LP034,Gujarat,Ahmedabad,North,10.72548325665686,86.24051822248305,14.711358101142894,Laterite,7.339601603509107,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,4264.107432667235,1768
LP035,Tamil Nadu,Chennai,East,33.94584463360584,77.21154939807656,20.576278912469135,Mountain,7.080685917393073,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,2431.5662945223758,1888
LP036,Karnataka,Bangalore,South,36.448997441805226,82.69950604047027,7.413097082907018,Red,6.39973128749199,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,4043.724480869832,1474
LP037,Maharashtra,Mumbai,West,21.68733627041904,85.64791525192078,26.71980509868458,Black,6.1551869711804335,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,3760.5897434698973,1589
LP038,Uttar Pradesh,Lucknow,Central,28.900857659779597,70.0590893195772,5.664587088362118,Alluvial,6.0249979133089955,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,2796.039115551587,1033
LP039,Gujarat,Ahmedabad,North,34.35398302307142,76.70018126690101,9.515636154484053,Laterite,6.301549347886336,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,3957.087846775534,914
LP040,Tamil Nadu,Chennai,East,9.16488668946933,75.78386246129716,21.965431898784715,Mountain,7.36591978851729,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,3045.30492374677,971
LP041,Karnataka,Bangalore,South,33.9298544734477,95.96674761281189,20.172098704074024,Red,6.9274470605204,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,1865.6397870543583,1842
LP042,Maharashtra,Mumbai,West,13.732101644279314,75.35731888727149,14.543590405668107,Black,6.876492402684842,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,4721.990807764522,617
LP043,Uttar Pradesh,Lucknow,Central,21.78881958366592,86.82709888835784,23.565148059250898,Alluvial,6.448265380140845,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,1921.095478413325,805
LP044,Gujarat,Ahmedabad,North,25.760516868437392,82.31531620814124,26.538521455527796,Laterite,6.113464604055064,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,3144.3771911218096,1989
LP045,Tamil Nadu,Chennai,East,22.526124039278464,97.29762518756479,9.366631809346458,Mountain,6.54374184629081,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,4320.102458469522,897
LP046,Karnataka,Bangalore,South,18.49040362138514,69.40527234656254,26.357077325363186,Red,6.848121619380482,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,1771.4642527066972,910
LP047,Maharashtra,Mumbai,West,19.760738940627814,95.86934059976973,17.159666712783604,Black,6.874737499669681,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,3587.2832839549933,1295
LP048,Uttar Pradesh,Lucknow,Central,22.19204806858356,90.9345589166563,21.95440235366437,Alluvial,7.205673696608628,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,2378.5520374798107,1709
LP049,Gujarat,Ahmedabad,North,14.520739749392828,81.25463831027841,29.5950792305816,Laterite,7.200623807011018,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,2868.0978552482757,878
LP050,Tamil Nadu,Chennai,East,26.98707291147278,86.4576311526022,17.58226372690868,Mountain,6.761037115778524,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,1442.1389620439372,1672
LP051,Karnataka,Bangalore,South,35.63882490306078,96.97404053472229,7.156314651033989,Red,7.039894780281469,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,3050.618113651996,762
LP052,Maharashtra,Mumbai,West,25.554008560852523,76.89434092565453,25.405259855722253,Black,6.371684167303167,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,1571.66386985984,1728
LP053,Uttar Pradesh,Lucknow,Central,26.641704660276815,82.06597716460229,7.779235652375819,Alluvial,6.988486657596381,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,2836.5815838596645,1449
LP054,Gujarat,Ahmedabad,North,34.74365270040253,70.9090587670095,15.903463072629723,Laterite,6.125918502623977,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,4491.502816520793,838
LP055,Tamil Nadu,Chennai,East,26.424019914545006,85.27584707449223,15.162658786403966,Mountain,7.064080814204859,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,1333.5020565579407,667
LP056,Karnataka,Bangalore,South,18.03948903852641,80.11346687603222,18.679375851204938,Red,7.301131292897778,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,3092.5764184511227,587
LP057,Maharashtra,Mumbai,West,19.904309949187727,87.15618861478896,29.898221461305262,Black,6.377157212594705,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,3466.4301305623635,1420
LP058,Uttar Pradesh,Lucknow,Central,24.908114657851655,74.54655163386198,5.569975459368541,Alluvial,7.4419456261533785,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,4924.970915103415,1040
LP059,Gujarat,Ahmedabad,North,24.834724214579786,86.71342002223702,19.770999261473996,Laterite,7.1504082258509865,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,2871.4681791300923,514
LP060,Tamil Nadu,Chennai,East,13.142331239553666,69.9921305125672,9.982868171095777,Mountain,7.021963368896528,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,1996.4057025416887,741
LP061,Karnataka,Bangalore,South,8.603236375485446,92.13967043257799,16.042516855111536,Red,7.286479827466864,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,4344.568951314133,1287
LP062,Maharashtra,Mumbai,West,35.581755882324096,80.09526698664118,17.342061799449116,Black,6.78191897004201,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,1676.6103935319798,901
LP063,Uttar Pradesh,Lucknow,Central,20.567804986384267,78.1855892869139,10.269060557862375,Alluvial,7.431449871163046,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,3726.9831554799994,1412
LP064,Gujarat,Ahmedabad,North,29.231427482998107,69.28805895910615,19.59710956424765,Laterite,6.065701669784041,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,4178.7084022481085,807
LP065,Tamil Nadu,Chennai,East,23.161168080694196,82.1180275293597,25.74083989907948,Mountain,6.475118919160593,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,1107.5617593527104,1931
LP066,Karnataka,Bangalore,South,35.07739724777459,79.21412792875057,27.562451162130113,Red,6.283380818835834,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,3926.2160831988913,640
LP067,Maharashtra,Mumbai,West,24.87469503288999,86.47291566029601,19.002236599064858,Black,6.999361790807578,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,3615.4872591968374,1810
LP068,Uttar Pradesh,Lucknow,Central,23.674863423985332,70.01366171899228,17.095813705554114,Alluvial,7.305217912858484,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,1313.1061252433067,1602
LP069,Gujarat,Ahmedabad,North,17.47363872166352,76.19774553985647,22.574514969920184,Laterite,7.175759038687298,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,1286.612560493447,1280
LP070,Tamil Nadu,Chennai,East,26.56618267809118,91.49816134095427,14.71232988648865,Mountain,6.414454940278521,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,4263.442848313885,1798
LP071,Karnataka,Bangalore,South,35.51920501551484,85.2433098392147,18.240722957736594,Red,6.906186097108237,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,3016.674384943888,601
LP072,Maharashtra,Mumbai,West,10.504557831378149,77.71654662917875,23.220636462241384,Black,6.098608207266394,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,3354.555615008348,587
LP073,Uttar Pradesh,Lucknow,Central,26.509179887060697,80.69560720793748,19.76836875173342,Alluvial,7.2648233703684575,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,1867.296660626454,1594
LP074,Gujarat,Ahmedabad,North,30.656354053997426,88.38125758734296,17.11574841851202,Laterite,6.102287278871121,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,2245.512101379011,1006
LP075,Tamil Nadu,Chennai,East,13.12258906549321,90.12293853999482,18.77486871026199,Mountain,6.200607203782551,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,4901.149097709749,1481
LP076,Karnataka,Bangalore,South,29.4402721433824,69.07970526442193,22.896325661621024,Red,6.186327587238228,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,1471.818879860672,527
LP077,Maharashtra,Mumbai,West,35.39462156333119,70.71248013378707,12.33485027021609,Black,7.466806446630419,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,2218.0147127403698,1062
LP078,Uttar Pradesh,Lucknow,Central,20.296501668309496,80.89119484470103,28.99231305069296,Alluvial,6.624317548848349,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,1282.9027025769135,1166
LP079,Gujarat,Ahmedabad,North,35.242322686924325,77.15044216702404,13.470831934975234,Laterite,7.200766640737939,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,2780.959989579784,907
LP080,Tamil Nadu,Chennai,East,33.73055952575761,85.90128993906478,12.488609217418563,Mountain,6.4984803159092275,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,3686.520616510073,648
LP081,Karnataka,Bangalore,South,27.496243686505657,76.16901073314655,12.245788471283507,Red,6.149914537461248,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,1298.0105736086193,1180
LP082,Maharashtra,Mumbai,West,21.11234556806933,74.07527740960784,7.300999101153117,Black,6.328932326141567,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,3331.8037580565087,569
LP083,Uttar Pradesh,Lucknow,Central,26.11736008963681,81.08515214319853,29.253954494754403,Alluvial,6.2592315043315745,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,2013.2280485651418,536
LP084,Gujarat,Ahmedabad,North,15.194138687869554,72.25202330099357,19.838467113110685,Laterite,6.998265294105832,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,4252.350821585725,1579
LP085,Tamil Nadu,Chennai,East,9.069653087172423,83.38222337462692,20.0773336933631,Mountain,7.229187784893538,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,3780.7629223636854,1895
LP086,Karnataka,Bangalore,South,18.40861242531946,84.0625361083546,13.790854108508949,Red,6.018952626666271,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,3784.4051915991486,1780
LP087,Maharashtra,Mumbai,West,12.722773043897234,72.1172213410582,10.878618401990824,Black,7.0631721712126625,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,1473.3976937600405,1365
LP088,Uttar Pradesh,Lucknow,Central,24.18355087134486,70.13348396684943,26.510461385931745,Alluvial,7.337893619477011,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,2139.04849892721,1584
LP089,Gujarat,Ahmedabad,North,31.477557687216162,92.53460272087514,6.301761092946285,Laterite,7.116213116748595,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,4279.726712348872,1681
LP090,Tamil Nadu,Chennai,East,16.749611924992617,84.06368494883955,11.969175983925762,Mountain,6.978750649314386,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,3604.0874212500444,1539
LP091,Karnataka,Bangalore,South,34.723481272528296,80.37297773088952,10.183509439558627,Red,6.816682694573593,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,1094.5533686446115,1033
LP092,Maharashtra,Mumbai,West,29.948151754403753,90.08503835652547,27.135178122793736,Black,6.3125133980395525,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,1793.6152919160359,1274
LP093,Uttar Pradesh,Lucknow,Central,29.301262939829634,74.14219775044045,25.758842268596645,Alluvial,6.384538708352685,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,1173.2380294904528,1255
LP094,Gujarat,Ahmedabad,North,29.139496627240717,78.75060619055674,25.19088335305685,Laterite,6.463955080300948,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,1741.7948995626725,1763
LP095,Tamil Nadu,Chennai,East,16.947211992055397,83.85267034826282,6.574436293864077,Mountain,7.30673062715087,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,2582.45572438461,1141
LP096,Karnataka,Bangalore,South,14.143780244946193,91.83899639517989,27.110335430670744,Red,6.475614508146104,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,4931.048576351965,524
LP097,Maharashtra,Mumbai,West,26.311508275185155,93.38076851095006,15.68700081005417,Black,6.371128027210065,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,1270.512280582734,853
LP098,Uttar Pradesh,Lucknow,Central,18.81781017840744,68.72718910961515,16.31890496952703,Alluvial,6.2753405606578,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,4822.399331921288,1104
LP099,Gujarat,Ahmedabad,North,13.449762763769707,85.25632312224118,28.992598329517083,Laterite,6.406079104631706,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,3185.442977696783,735
LP100,Tamil Nadu,Chennai,East,10.853216064898044,76.81977503854239,14.785468765983374,Mountain,6.9957030558975095,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,2949.855796038563,617
